City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
420,ugoofaaru,5.6667,73.0,300.95,78,100,5.66,MV,1696098344
421,sake,-1.5736,29.045,291.49,84,69,0.13,CD,1696098344
422,xining,36.6167,101.7667,284.63,81,88,0.77,CN,1696098345
423,east ballina,-28.8667,153.5833,290.34,79,0,6.02,AU,1696098345
424,labrador city,52.9463,-66.9114,292.1,39,75,5.66,CA,1696098345
425,jibia,13.0978,7.2225,302.97,53,54,1.1,NG,1696098345
426,mudhol,16.35,75.2833,296.78,85,89,5.57,IN,1696098345
427,nogliki,51.8333,143.1667,280.89,89,26,1.06,RU,1696098345
428,petawawa,45.9001,-77.3328,295.25,58,53,1.31,CA,1696098345
429,cape canaveral,28.4058,-80.6048,303.19,86,20,4.63,US,1696098346
430,moss point,30.4116,-88.5345,306.18,47,0,4.63,US,1696098346
431,sampit,-2.5333,112.95,297.08,84,100,0.69,ID,1696098346
432,magadan,59.5667,150.8,279.72,64,100,3.13,RU,1696098266
433,sabha,27.0377,14.4283,303.96,25,89,4.73,LY,1696098346
434,paita,-5.0892,-81.1144,297.19,70,63,6.59,PE,1696098346
435,trinidad,-14.8333,-64.9,309.65,32,100,1.49,BO,1696098347
436,salekhard,66.53,66.6019,274.82,66,100,5.16,RU,1696098347
437,beni,0.5,29.4667,292.56,88,80,0.15,CD,1696098347
438,vila franca do campo,37.7167,-25.4333,295.31,99,100,2.99,PT,1696098347
439,kendari,-3.945,122.4989,294.65,90,46,1.61,ID,1696098347
440,anton lizardo,19.05,-95.9833,305.27,71,83,2.2,MX,1696098347
441,port douglas,-16.4833,145.4667,295.41,82,54,5.38,AU,1696098348
442,calabozo,8.9242,-67.4293,309.13,45,51,1.69,VE,1696098348
443,hovd,48.0056,91.6419,280.6,58,91,1.79,MN,1696098348
444,lhokseumawe,5.1801,97.1507,298.88,89,19,1.08,ID,1696098348
445,palangkaraya,-2.2,113.8333,298.03,75,97,0.9,ID,1696098220
446,shwebo,22.5667,95.7,297.6,94,97,3.03,MM,1696098348
447,kristiansund,63.1115,7.732,285.51,87,100,6.69,NO,1696098349
448,hue,16.4667,107.6,300.21,94,40,1.54,VN,1696098349
449,taulaga,-11.0553,-171.0883,300.8,79,32,5.13,AS,1696098349
450,conceicao do araguaia,-8.2578,-49.2647,310.16,28,46,3.12,BR,1696098349
451,mount gambier,-37.8333,140.7667,286.99,85,93,6.25,AU,1696098350
452,bhind,26.5642,78.7883,301.0,50,4,1.28,IN,1696098350
453,smidovich,48.6,133.8167,281.66,91,100,3.27,RU,1696098350
454,ebon,4.582,168.6964,301.89,73,96,5.35,MH,1696098350
455,lazaro cardenas,17.9583,-102.2,304.55,67,36,3.07,MX,1696098350
456,charcas,23.1333,-101.1167,296.02,42,22,3.28,MX,1696098350
457,meulaboh,4.1363,96.1285,299.2,88,91,1.35,ID,1696098350
458,kotlas,61.2611,46.6556,286.51,81,100,4.47,RU,1696098351
459,taoudenni,22.6783,-3.9836,309.2,14,15,4.3,ML,1696098351
460,lupane,-18.9315,27.807,300.36,30,87,2.88,ZW,1696098351
